Ainoaviricetes	Belvinaviricetes	Caudoviricetes	Faserviricetes	Laserviricetes	Leviviricetes	Malgrandaviricetes	Tectiliviricetes
PHROG_702	PHROG_873			PHROG_2666	PHROG_4267	PHROG_514	PHROG_2666
PHROG_4928	PHROG_2666			PHROG_21776	PHROG_4286		PHROG_5863
PHROG_20088	PHROG_8536			PHROG_29187			
				PHROG_29323			
				PHROG_29754			
				PHROG_30283			
				PHROG_30846			
				PHROG_31856			
				PHROG_32089			
				PHROG_32686			
				PHROG_32692			
				PHROG_33523			
				PHROG_33729			
				PHROG_33914			
				PHROG_34543			
				PHROG_34887			
				PHROG_35191			
				PHROG_35387			
				PHROG_36135			
				PHROG_36500			
				PHROG_36565			
				PHROG_36838			
				PHROG_38718			
